"C13","N15","site","Genus","Species"
-15.06,7.09,"MS-1","Eulimnogammarus","verrucosus"
-11.7,7.53,"BGO-1","Pallasea","cancellus"
-14.29,6.63,"BGO-1","Eulimnogammarus","verrucosus"
-12.89,7.22,"BGO-2","Pallasea","cancellus"
-15.1,7.44,"LI-1","Eulimnogammarus","verrucosus"
-14.03,7.01,"BGO-1","Eulimnogammarus","vittatus"
-13.52,7.35,"EM-1","Eulimnogammarus","vittatus"
-14.18,7.35,"SM-1","Eulimnogammarus","vittatus"
-12.18,7.33,"BK-2","Pallasea","cancellus"
-13.71,7.07,"SM-1","Eulimnogammarus","verrucosus"
-13.72,7.77,"SM-1","Eulimnogammarus","verrucosus"
-13.9,6.42,"BGO-2","Eulimnogammarus","verrucosus"
-13.59,6.79,"MS-1","Eulimnogammarus","vittatus"
-11.06,3.62,"BGO-1","Periphyton",NA
-14.53,2.14,"EM-1","Periphyton",NA
-20.21,0.77,"BGO-2","Periphyton",NA
-12.62,3.76,"BK-2","Periphyton",NA
-14.32,1.72,"SM-1","Periphyton",NA
-18.9,7.4,"MS-1","Eulimnogammarus","cyaneus"
-16.54,7.92,"SM-1","Eulimnogammarus","cyaneus"
-13.94,7.66,"EM-1","Eulimnogammarus","cyaneus"
-14.08,7.7,"EM-1","Eulimnogammarus","cyaneus"
